Author,Webpage,Mail,Calendar,Browser,Password Manager,Messaging,Notes,Cloud File Storage,To-Do,Code Editor,Terminal,Blogging,Launcher
zmknox,https://zmknox.com/2023/12/30/app-defaults-2024,Gmail and Fastmail for iOS,Google Calendar via Apple Calendar app,Arc on Mac,1Password,iMessage,Apple Notes,iCloud Drive,Reminders,VS Code,iTerm 2,Not mentioned,Not mentioned
Zhen,https://wogong.net/blog/2023/12/defaults2023,Gmail Web,Google Calendar,Google Chrome,BitWarden,Telegram,Obsidian,Dropbox,TickTick,,,,
Kristof Zerbe,https://kiko.io/post/App-Defaults-2023/,Gmail,,Google Chrome,,,,,,Visual Studio Code,,,
Rach Smith,https://rachsmith.com/app-defaults/,Spark Mail,Fantastical,Arc,1Password,Slack,Obsidian (Personal),iCloud,Todoist,VSCode,iTerm2,(Not provided),Raycast
Gregory Pittman,https://golfdeltapapa.blog/uses/,Proton,Fantastical,Safari,1Password,Messages (Apple),Apple Notes,iCloud Drive,OmniFocus,,,Micro.blog,Ivory
Bobiko,https://bobiko.blog/2023/12/defaults-apps-2023/,Gmail,Google Calendar,Fifefox,KepassXC,Signal + Matrix + telegram,Obsidian.md,Onedrive + selhofosted NextCloud,Todoist,VScod,,,N/A
Ben Tsai,https://bentsai.pika.page/posts/my-app-defaults,Gmail,Outlook,Arc (macOS),1Password,Apple Messages,Kinopio,,pen and paper,,,,
Phil Stollery,https://stollerys.co.uk/defaults,Mimestream (Mac),BusyCal (Mac),Firefox (Mac),Bitwarden,WhatsApp,Notes.app,iCloud Drive,Due,None,None,None,None
Brendan Thompson,https://brendanthompson.com/uses,Mail,,,1Password,iMessage,Bear,Notion,Things,Nova,iTerm,Sketch,Raycast
Carlo Zottmann,https://zottmann.org/2023/12/17/default-apps.html,Fastmate,Fastmail via Fantastical,Brave,Strongbox,Telegram,Obsidian,Fastmail,Obsidian,VS Code,iTerm,,Raycast
Ehqo,https://ehqo.weblog.lol/2023/12/my-2023-app-defaults,Spark Mail Classic,Fantastical,Firefox,,Discord,Bear,iCloud,Todoist,Visual Studio Code,Tabby,,Raycast
8bit,https://blog.8bit.lol/2023/12/defaults,Wino Mail,Calendar,Chrome,Bitwarden,Discord,Keep,Drive,Tasks,VSCode,,,None
Dillon Mok,https://dillonmok.com/articles/my-default-apps/,Mail.app,,Safari,,Mona for Mastodon,custom Obsidian setup,,Reminders,,,,Alfred
R.J. Faas,https://rjfaas.com/2023/12/27/since-all-the-cool-kids-are-doing-it-heres-a-list-of-my-defaults-apps-for-end-of-year-2023/,Spark,Fantastical,Safari,iCloud Keychain,iMessage,Apple Notes,iCloud Drive,Apple Reminders,,,,
Rob Green,https://robjimgreen.co.uk/app-defaults/,Gmail,Fantastical Calendar,Safari,iCloud KeyChain,iMessage,Apple Notes,Google Drive,Things 3,N/A,N/A,N/A,N/A
Nils,https://nilsschaffer.com/my-app-defaults-2023/,Spark,Fantastical,Arc,iCloud Keychain,Telegram,Craft,iCloud,Things,,,,
Luis Quintanilla,https://www.lqdev.me/feed/app-defaults-2023,Thunderbird,,Firefox,,Element,Emacs,,Microsoft To-Do,Visual Studio Code,,,
Czar,https://text.tchncs.de/czars-blogs/apps-i-use,Gmail,simplecalendar,Fennec f-droid,Bitwarden,Telegram,Joplin,Googledrive,Joplin,Geany,,,Trebuchet
Maarten,https://www.filmvanalledag.nl/?p=9266,Apple Mail,Apple Calendar,Safari,Keepass,Whatsapp,Obsidian,iCloud,Trello,Obsidian,,WordPress,Trello
Bob Monsour,https://www.bobmonsour.com/posts/my-defaults-are-my-faults/,Google Mail,Google Calendar,Chrome,1password,,Obsidian,Dropbox,Obsidian,VS Code,,,
Adrian Izquieta,https://www.izq.fm/2023/12/24/app-defaults-mail.html,Hey,Fantastical,Safari,1Password,Apple Messages,Notion,Google Drive,Omnifocus,,,,
Tim Bueno,https://blog.timbueno.com/2023/11/06/my-app-defaults.html,Apple Mail,Fantastical,Safari,1Password,Apple Messages,Apple Notes,iCloud Drive,Apple Reminders,N/A,N/A,N/A,N/A
Barry Hess,https://bjhess.pika.page/posts/2023-app-defaults,Fastmail,Apple Calendar,Arc,1Password,Apple Messages,Obsidian,iCloud Drive,Todoist,none mentioned,none mentioned,none mentioned,none mentioned
Scott Willsey,https://scottwillsey.com/default-apps-2023/,Fastmail,Apple Calendar,Safari,1Password,Messages,Obsidian,iCloud Drive,Reminders App,Visual Studio Code,Warp,No application specified,No application specified
Jeff Bridgforth,https://jeffbridgforth.com/apps-i-use-2023/,Google,Google Calendar,Firefox,Bitwarden,Slack,Evernote (personal),Not mentioned,Not mentioned,VS Code,Not mentioned,WordPress,Not mentioned
Mark Phillips,https://probably.co.uk/posts/default-applications/,Hey,Fantastical,Safari,,iMessages,Apple Notes,iCloud,Things,Mostly Vim,,,Spotlight
Dana Byerly,https://danabyerly.com/notes/defaults-2023/,Thunderbird,Calendar.app,Firefox,None mentioned,Messages.app,Obsidian and Standard Notes,Dropbox and Proton Drive,Obsidian,VS Code,None mentioned,None mentioned,None mentioned
Steve Ledlow,https://tangiblelife.net/app-defaults,HEY for Domains,Apple Calendar,Arc,1Password for Families,Apple Messages,Apple Notes/iA Writer,iCloud/Dropbox,Apple Reminders,(not specified),(not specified),(not specified),Raycast Pro
Jay Wilson,https://heyjaywilson.com/blog/2023/11/26-default-apps/,Mail.app,Google Calendar,iOS Safari,,Messages,Notion,iCloud Drive,Reminders.app,Xcode,,,
Yilei Yang,https://mangoumbrella.com/post/default-apps-2023,Gmail app,Google Calendar,Safari (iOS),Chrome,WeChat,Apple Notes,Google Drive,Apple Notes,VS Code,iTerm2,In-house Engine and Client,N/A
Roy Tang,https://roytang.net/2023/12/default-apps/,Web,Google Calendar,Firefox (everywhere),Firefox,Messenger (legacy,Google Keep (currently migrating away from),OneDrive (paid),NONE!,VS Code,None mentioned,None mentioned,None mentioned
Justin Vollmer,https://justinvollmer.com/posts/2023/12/my-default-apps-at-the-end-of-2023/,Zoho,Fantastical,Safari,Bitwarden,iMessage,Obsidian,iCloud,Todoist,Sublime Text,Not mentioned,Not mentioned,Alfred
DemoChen,https://demochen.com/posts/20231216/,Apple Mail,Apple Calendar,Arc & Firefox,Bitwarden,Telegram & WeChat,Apple Notes & Craft & Notion,iCloud & OneDrive,Apple Reminders,(no app listed),(no app listed),(no app listed),(no app listed)
Doug Jones,https://doug.pub/2023/12/16/its-defaults-time.html,Fastmail,Google Calendar,Arc,,,Obsidian,iCloud,Todoist,IntelliJ,,,
Aman Mittal,https://amanhimself.dev/blog/default-apps-2023/,Gmail,Apple Calendar and Google Calendar (professionally),Chrome professionally on desktop and iOS,1Password,Slack,Notion professionally,iCloud for some applications to sync between both phone and laptop,Obsidian,VS Code,iTerm,No application mentioned,No application mentioned
Dustin K,https://dustinknopoff.dev/articles/what-i-use-2023/,Apple Mail,Calendar.app,Safari,1Password,iMessage,,iCloud,Apple Reminders,Visual Studio Code,Terminal.app,,Raycast
Jeff Triplett,https://jefftriplett.com/2023/default-apps-2023/,Mimestream,Apple Calendar,Vivaldi,1Password,Apple Messages,Obsidian,iCloud Drive,,Sublime Text,iTerm2,,Alfred 5
Max Sommer,https://maxsommer.de/blog/default-apps-2023/,Spark (Private),Busycal via Setapp (Private),Arc (MacOS),,,Notion & Microsoft Loop (Work),Google Drive,Todoist,VS Code,,Strapi,
Josh Betz,https://josh.blog/2023/12/default-apps-2023,Mail.app,Apple Calendar,Safari,1Password,Messages,Apple Notes,iCloud,Things,vim,,,
Daniele,https://fokewulf.it/2023/12/08/le-mia-app-di-defaults-del-2023/,Apple Mail,Calendars 5,Firefox,1Password,Discord,Notes.app,iCloud Drive,Remainders.app,,Terminal.app,,
Spencer Harston,https://www.spencerharston.com/posts/app-defaults-2023/,Gmail,Google Calendar,Firefox Developer Edition,Bitwarden,Google Messages,Google Keep,Google Drive,Tasks.org (Android),Visual Studio Code,Windows Terminal,(No application specified),(No application specified)
Lyokolux,https://blog.lyokolux.space/posts/2023-11-20-default-apps/,Protonmail,Simple Mobile Tools,Firefox,,,Obsidian,pCloud,Pen & Paper,,,,
Matt,https://canyoudownloadrice.com/software-i-use/,PurelyMail,Apple Calendar,Arc,1Password,Signal,Drafts,iCloud,Apple Reminders,Rider,N/A,N/A,Spotlight
Daniel Demby,https://heliomass.com/posts/117-app-defaults/,Gmail,Fantastical,Safari,1Password,iMessage,Tot,iCloud,Things 3,(blank),(blank),(blank),(blank)
N.A. Ferrell,https://thenewleafjournal.com/my-default-apps-as-of-december-2023/,Thunderbird,N/A,Firefox,KeePassXC,LineageOS Messaging App,Ghostwriter,Filen,N/A,MrCode,Terminator,WordPress,Kiss Launcher
Thomas Gigold,https://gigold.me/blog/defaults,Outlook,Google Calendar,Safari,Bitwarden,Instagram & WhatsApp,Obsidian,iCloud and ownCloud,none,none,none,none,none
Guillermo,https://guillermolatorre.com/aplicaciones-por-defecto-2023/,Hey,Calendario (Apple),Safari,1Password,Telegram,Obsidian,iCloud Drive (Apple),Things,Nova,Ivory,No mention,No mention
ucant,https://gemini.tildeverse.org/?gemini://gemini.ucant.org/gemlog/2023-11-17_defaults.gmi,,,Wobbly Help Section,,,,,,,,,
thrig,https://gemini.tildeverse.org/?gemini://thrig.me/blog/2023/11/17/defaults.gmi,,,Browser,,,,,,,,,
Miguel de Luis Espinosa,https://gemini.tildeverse.org/?gemini://yretek.com/english/gemlog/2023/11/2023-11-17_RE_defaults.gmi,,,Wobbly Help Section,,,,,,,,,
Thalskarth,https://blog.thalskarth.ar/aplicaciones-por-defecto/,Thunderbird,Google Calendar,Firefox,KeepassX,Telegram and Whatsapp,Sublime,Dropbox,Todoist,Sublime,Not mentioned,Not mentioned,Not mentioned
Jorge Sanz,https://jorgesanz.net/posts/2023-11-16-defaults/,Google Mail and Zoho,Google Calendar,Firefox,Bitwarden,Slack,Logseq,Google Drive and my NAS,todo-txt,VS Code,,Not listed,Not listed
eapl.mx,https://text.eapl.mx/services-im-using-in-2023,Gmail,Google Calendar,Firefox,Vaultwarden,Telegram,Telegram,Google Drive,Excel spreadsheets,Notepads (Win),N/A,smol.pub,Niagara
Adrián Perales,https://adrianperales.com/2023/12/aplicaciones-por-defecto-en-2023/,Mail de Apple,Calendario de Apple,Safari,,WhatsApp,Archivos Markdown sincronizados,iCloud Drive,Recordatorios de Apple,,,,
Luigi Mozzillo,https://mozzillo.com/en/2023/12/default-apps-2023/,Apple Mail.app,Apple Calendar.app,Safari (mobile),Bitwarden,WhatsApp,Obsidian,iCloud Drive,Todoist,Obsidian,not mentioned,not mentioned,not mentioned
Nathaniel Daught,https://daught.me/blog/2023-defaults,Mail.app,Fantastical,Safari,1Password,Signal,Notes.app,iCloud Drive,Reminders.app,Nova,NA,NA,NA
Loura,https://heyloura.com/2023/12/07/my-app-defaults.html,HEY,Outlook,Brave,Lastpass,The standard Android app,Tiddlywiki via Tiddlyhost.com,Onedrive,Tiddlywiki via Tiddlyhost.com,Visual Studio Code or Visual Studio,Not mentioned,Micro.blog,
Johannes Ebeling,https://technocidal.com/2023/12/07/app-defaults,Mail.app,Calendar.app,Arc,1Password,Slack,Craft,iCloud Drive,Things,,,,
Stephen Hackett,https://512pixels.net/gear/,Mimestream,Apple's stock Calendar app,Mostly Safari,1Password for Families and Teams,Slack,Apple's Notes app,Dropbox,Todoist,,,WordPress,
Assaf,https://labnotes.org/default-apps-2023/,Shortwave,Fantastical,Arc,1Password,Messages,Notes,iCloud Drive,Things,VS Code,iTerm,(not mentioned),Alfred
Daniel Miller,https://daniel.industries/2023/12/03/default-apps-2023/,Gmail web,Google,Brave,1Password,Google Messages,Logseq,Google Drive,Notion,VS Code,GNOME terminal,Notion,(None mentioned)
Anthony Dumas,https://blog.adm.ink/defaults,Mailo,Outlook (Windows / iOS) / Calendar.app (Mac),Firefox (Windows / Mac) / Orion (iOS),Bitwarden Self Hosted,Facebook Messenger / Discord,Obsidian,iCloud / Backblaze B2 (Long Term Storage),"""Tasks"" Obsidian Plugin",Visual Studio Code / IntelliJ,iTerm (macOS) / Terminal.app (Windows),Ivory (Mastodon),Alfred
Nathan Snelgrove,https://nathansnelgrove.com/2023/12/default-apps-in-2023,Fastmail,Fantastical,Safari,1Password,,Obsidian,iCloud and Dropbox,Omnifocus,Nova,N/A,N/A,Alfred
Nicolas Magand,https://thejollyteapot.com/2023/11/17/third-party-apps-i-like-and-use-—-2023-edition,Apple Mail,N/A,Safari,N/A,WhatsApp,JustPressRecord,Dropbox (Maestral),Things,N/A,N/A,N/A,N/A
Chris Hunsanger,https://hunsanger.com/2023/11/26/app-defaults.html,Mimestream,Calendar.app,Safari,1Password,iMessage,Notes.app,iCloud Drive,Reminders,Nova,N/A,N/A,N/A
Étienne,https://etienne.depar.is/a-ecrit/app-defaults.html,mu4e,Nextcloud Calendar app,Firefox,pass,Signal,Org on Emacs and Orgzly on Android; Nextcloud Notes app,Nextcloud,N/A,Emacs,,Fronde,
Josh Withers,https://joshwithers.blog/2023/12/05/my-app-defaults.html,Mail.app,Google Calendar,Safari,1Password,iMessage,Drafts/Obsidian,Dropbox,Reminders.app,,,,
The Wandering Allison,https://thewanderingallison.github.io/posts/app_defaults_2023/,Gmail,Google Calendar,Chrome,Chrome,Discord,Google Keep,Google Drive,Google Keep,N/A,N/A,Github Pages + Hugo,N/A
Sven Luijten,https://svenluijten.com/posts/default-apps-2023,Mail.app,Calendar.app,Safari,1Password,WhatsApp,Obsidian,iCloud Drive,Things 3,Obsidian,N/A,N/A,Raycast
Matthew Ernisse,https://www.going-flying.com/blog/defaults.html,mutt,Calendar.app,Safari,pass(1),irssi,,No thanks,,vi(1),,,
Tommy Palmer,https://www.tommyp.org/blog/app-defaults,Gmail,Apple Calendar,Arc,Secrets,Slack,iOS Notes and Notion,iCloud,Things,(not mentioned),(not mentioned),(not mentioned),(not mentioned)
Yizun Wang,https://blog.huadeity.com/posts/app-defaults/,Apple Mail,Apple Calendar with iCloud,Safari,,,Obsidian,iCloud,Apple Reminders with iCloud,,,,
Shuo Zhan,https://blog.zzsqwq.cn/posts/default-apps-f2023/,Gmail,Dato,Microsoft Edge,iCloud Keychain,Telegram,Obsidian,iCloud Drive,Reminders.app,JetBrains Series,None provided,HugoApp,HapiGo
Lawrence Li,https://lawrenceli.me/blog/app-defaults-2023,Apple Mail,Apple Calendar,Chrome,iCloud Keychain,WeChat,Apple Notes,iCloud Drive,Apple Reminders,Obsidian,,N/A,N/A
Kunall Banerjee,https://defaults.kimchiii.space/,Gmail,Fantastical 2,Brave,1Password,Signal,(No application listed),Google Drive,(No application listed),(No application listed),(No application listed),(No application listed),(No application listed)
Kyle Ford,https://houseofkyle.com/2023/12/02/default-apps-2023/,Spark,Fantastical,Chrome,1Password,Apple Messages,Notion,Google Drive,Apple Reminders,BBEdit,,,
Sven Luijten,http://svenluijten.com/posts/default-apps-2023,Mail.app,Calendar.app,Safari,1Password,WhatsApp,Obsidian,iCloud Drive,Things 3,,,,Raycast
Paul Robert Lloyd,https://paulrobertlloyd.com/2023/336/a1/default-apps/,macOS Mail,macOS Calendar,Safari,macOS Passwords,Messages (or WhatsApp),macOS Notes,iCloud Drive,macOS Reminders,Visual Studio Code,(not specified),(not specified),(not specified)
Ondrej Sevcik,https://ondrejsevcik.com/blog/my-app-defaults-2023,Fastmail,Fastmail,Firefox,1Password Family,Signal,Notion,iCloud,Todoist,IntelliJ (Work) and VS Code (Personal),[Not provided],[Not provided],[Not provided]
Brandon Pugh,https://www.brandonpugh.com/blog/my-default-apps-of-2023/,Gmail,Google Calendar,Chrome,1Password,Slack,Evernote,Google Drive,Remember the Milk,VS Code,,N/A,N/A
Cam Pegg,https://campegg.com/2023/11/17/a-couple-of.html,Fastmail web (personal)/Outlook (work),Fastmail web (personal)/Outlook (work),Arc,1Password,Messages + Signal + WhatsApp,Notes.app + iA Writer,iCloud (personal)/Box (work),iA writer,Nova,,,
Tim Nahumck,https://nahumck.me/app_defaults_2023/,Mail.app,Calendar.app,Safari,,,Drafts,iCloud,,,,,
Harry Cresswell,https://harrycresswell.com/writing/app-defaults/,Tuta Mail,Tuta Calendar,LibreWolf,Bitwarden,WhatsApp,Obsidian,Sync,Obsidian,Visual Studio Code,Hyper,n/a,n/a
Martin Hähnel,https://blog.martin-haehnel.de/2023/12/01/via-app-defaults.html,Mimestream,Fantastical,Safari,,,Obsidian,Apple iCloud,OmniFocus,VSCode and PHPStorm,,,
Jasper,https://jasper.tandy.is/blogging/default-apps-2023,,Fantastical,Chrome,,iMessage,iA Writer,,,,iTerm 2,,
Chris Glass,https://chrisglass.com/2023/11/28/default-apps/,Apple Mail,Apple Calendar,Safari,Keychain,iMessage,Apple Notes,Dropbox,Apple Reminders,TextBuddy,N/A,N/A,N/A
Ange Chierchia,https://chierchia.fr/blog/2023/12/applications-par-defaut-2023,Apple Mail,Apple Calendar,Chrome,Dashlane,iMessages and Telegram,Apple Notes,iCloud Drive,Apple Reminders,Visual Studio Code,not specified,not specified,not specified
Timothée Goguely,https://timothee.goguely.com/blog/default-apps-2023/,Proton Mail,Proton Calendar,Firefox Developer Edition,1Password,Whatsapp,TextEdit,Dropbox (perso),N/A,Sublime Text,N/A,N/A,N/A
Noah Jacobus,https://noahjacob.us/words/default-apps-2023.html,Mimestream,Fantastical,Safari,1Password,Apple Messages,Apple Notes,Dropbox,Apple Notes,Nova,None mentioned,None mentioned,None mentioned
Jason Heppler,https://social.jasonheppler.org/2023/11/29/default-apps-for.html,Apple Mail,Apple & Google Calendar,Safari,Apple Passwords,Messages,Obsidian,iCloud,Things 3,VSCode,,Micro.blog,
Dominik Höcht,https://ner3y.micro.blog/defaults/,Apple Mail App,iOS calendar,Google Chrome,Bitwarden,WhatsApp,Craft,Google Drive,Todoist,,,,
Chuck Grimmett,https://cagrimmett.com/tech/2023/11/29/default-apps-2023/,Airmail,Google Calendar,Chrome,1Password,Slack,Obsidian,Dropbox,Things,VS Code,iTerm2,,Raycast
Lost In Haste,https://lostinhaste.com/2023/11/29/default-apps-and.html,Mail & Fastmail,Fantastical,Safari,1Password 4,iMessage,Notes,iCloud,Reminders / GoodTask,VS Code,,Micro.blog 5,N/A
ldstephens,https://ldstephens.net/2023/11/29/my-default-apps-2024-version/,Mail,Fantastical,Safari,Bitwarden,Messages,Notes,iCloud,Things 3,Not mentioned,Not mentioned,Not mentioned,Alfred
Jacky Alciné,https://jacky.wtf/default-apps-of-2023,K-9 Mail,Nextcloud Calendar,Firefox,Vaultwarden,Slack,Obsidian,Nextcloud,Nextcloud Tasks,Neovim,,Quill,None
Alex Sirac,https://alexsirac.com/my-default-apps-in-2023/,FastMail,FastMail,Firefox,Bitwarden,Beeper,Obsidian,Nextcloud,Todoist,Obsidian,,WordPress.org,Blank
Tracy Durnell,https://tracydurnell.com/2023/11/28/my-current-default-apps/,Gmail,Google Calendar,Firefox,Bitwarden,Discord,OneNote,OneDrive,Excel (backlog),Notepad++,Not mentioned,WordPress,Not mentioned
Christian Fischer,https://hmbl.blog/defaults/,Postbox on Desktop,Calendar app on Mac & iPhone synced via iCloud,Firefox for use,EnPass (self hosted),Signal,OmniFocus,Synology DS Cloud (running on a server which is standing right in my office),OmniFocus,,,,
Johannes Mirus,https://1ppm.de/2023/11/meine-tools/,Apple Mail,Kalender-App von Apple,Safari,1Password,WhatsApp and iMessage,Apple Notes,Synology,No specific app mentioned,No specific app mentioned,No specific app mentioned,No specific app mentioned,No specific app mentioned
Paolo,https://www.feadin.eu/en/posts/app_defaults/,Mailmate,Fantastical,Safari,,WhatsApp,Obsidian,iCloud Drive,Due,BBEdit,,,Alfred
Jim Mitchell,https://jimmitchell.org/2023/11/21/app-defaults.html,Apple Mail,Fantastical,Safari,1Password,Apple Messages,iA Writer,iCloud,Things,BBEdit,,,Launchbar
Julian Peters,https://jupe.studio/my-defaults-2023,Apple Mail,Apple Calendar,Safari,1Password,Messages,Obsidian,iCloud Drive,Things 3,[not provided],[not provided],[not provided],[not provided]
Alex Carpenter,https://alexcarpenter.me/app-defaults,TypeApp,Fantastical,Chrome/Firefox,1Password,Apple Messages/Signal,Apple Notes,Synology NAS,Apple Reminders,Visual Studio Code,,,
Tyler Sticka,https://tylersticka.com/journal/default-apps-2023/,Gmail,Google Calendar,Arc (on desktop),1Password,Slack and Messages,Obsidian,Google Drive (for work files),Todoist,VS Code,No specific application mentioned,No specific application mentioned,Alfred
Troydp,https://troydp.micro.blog/2023/11/28/my-defaults.html,Mail.app,Calendar,Safari,Bitwarden,Messages,Notes,iCloud,Things,N/A,N/A,N/A,N/A
Matt Langford,https://mattlangford.com/2023/11/28/default-apps-for.html,Apple Mail,Apple & Google Calendar,Safari,Apple Passwords,Messages,Obsidian,Synology,Apple Reminders,Nova,,Micro.blog,
Chris McLeod,https://chrismcleod.dev/blog/default-apps-for-2023/,Apple Mail,Apple Calendar,Edge,1Password,Teams,Obsidian,iCloud,Apple Reminders,VS Code,,Micro.blog,
Baldur Bjarnason,https://notes.baldurbjarnason.com/2023/11/28/default-apps-for.html,Thunderbird,Google Calendar,Firefox,1Password,Messages,,Dropbox,,VS Code,,Micro.blog,
John Payne,https://jpayne.sackheads.blog/2023/11/28/app-defaults-hemispheric.html,Apple Mail,Fantastical,Safari,1Password,Messages,Notes,iCloud,Omnifocus,Textastic,(none mentioned),Micro.blog,
Manton Reece,https://www.manton.org/2023/11/28/default-apps-for.html,Hey,Fantastical,Safari,1Password,Messages,Ulysses,Dropbox,Basecamp,Nova,none,Micro.blog,none
Lewis Dale,https://lewisdale.dev/post/app-defaults/,Apple Mail,Calendar.app,Arc,1Password,WhatsApp,Obsidian,iCloud,Obsidian,(None listed),(None listed),(None listed),(None listed)
TaranakiNeko,https://blog.nekoq.top/blog/my-app-defaults-2023,K-9 Mail,None mentioned,Firefox Nightly,Firefox,Nagram / 64Gram,OneNote,OneDrive,None mentioned,None mentioned,None mentioned,None mentioned,Lawnchair 12.0.0 Alpha 5
Noah Liebman,https://noahliebman.net/2023/11/app-defaults/,Mail.app,Calendar.app/iCloud,Firefox,1Password,iMessage,Bear,iCloud Drive/Backblaze,Things,Nova,(blank),(blank),(blank)
TechTea,https://techtea.io/articles/2023/app-defaults/,Thunderbird,Nextcloud Calendar,Firefox,,,Leuchtturm1917 A5 Hardcover Dotgrid Notebook,Nextcloud running on TrueNAS Core,Nextcloud Tasks,,,,
Yuexun Jiang,https://yuexun.me/my-app-defaults-in-2023,Apple Mail,Apple Calendar,Vivaldi,1Password,Wechat,Apple Notes,iCloud,Apple Notes,Neovim,N/A,BlogIt.io,Raycast
Paul Armstrong,https://paularmstrong.dev/blog/2023/11/27/apps-tools-for-2023/,Apple Mail,Apple Calendar,Arc,1Password,,Notion,NextCloud,Notion,VSCode,,,Alfred
Johan,https://www.johanl.se/2023/11/13/app-defaults.html,Mail.app,Calendar.app,Safari,iCloud Keychain,iMessage,Bear,iCloud Drive,Things,Blank,Blank,Micro.blog,Blank
Marcel Appelman,https://huphtur.nl/2023-default-apps/, Mail, Calendar,Firefox,1Password,Discord, Notes, iCloud Drive, Reminders,,,,
Paweł Grzybek,https://pawelgrzybek.com/my-defaults-2023/,Mail (Apple),Calendar (Apple),Safari,1Password,Messages (Apple),Notes (Apple),iCloud Drive (Apple),Reminders (Apple),Helix (smaller projects),iTerm2,(blank),Raycast
Matt Stein,https://mattstein.com/thoughts/default-apps-2023/,Mail.app,Apple Calendar,Safari,,,Obsidian,iCloud,Obsidian,VS Code,iTerm 2,(blank),Raycast
Marc,https://marcamos.com/journal/default-apps-2023/,Gmail.com / Gmail app,Google Calendar,Chrome,1Password,Slack,Apple Notes,Dropbox,Apple Reminders,VS Code,,N/A,
Wouter Groeneveld,https://brainbaking.com/post/2023/11/app-defaults-in-late-2023/,Apple Mail,Self-hosted Radicale CalDAV/CardDAV,Firefox,KeePassXC,Signal,Primarily fountain pen and paper,None mentioned,None mentioned,Sublime Text,None mentioned,Hugo + RevealJS,None mentioned
David Mead,https://davidjohnmead.com/posts/2023-11-15-app-defaults/,Hey,Calendar.app,Safari,1Password,iMessage,Notesnook,iCloud Drive,Reminders.app,Nova,,,N/A
